hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
225190,2,1,1,38,14,12,7,1
225859,1,1,1,51,10,13,1,1
225859,2,1,1,59,11,13,5,1
226197,1,1,2,58,9,14,1,1
226197,2,1,2,56,10,14,6,1
227344,1,1,2,32,12,15,1,1
227344,2,1,1,29,12,15,4,1
227716,1,1,2,53,10,7,6,1
227716,2,1,2,51,7,7,7,1
228143,1,1,1,54,13,19,1,1
228143,2,1,1,52,10,19,1,1
229780,1,1,1,41,9,8,6,1
229780,2,1,2,43,10,8,1,1
230210,1,1,1,31,11,16,1,1
230210,2,1,1,31,11,16,1,1
230557,1,1,2,40,5,12,1,1
230557,2,1,2,48,10,12,7,1
230844,1,1,2,63,4,5,7,1
230844,2,1,2,61,9,5,6,1
231016,1,1,2,48,9,11,3,1
231016,2,1,2,48,10,11,1,1
231336,1,1,2,60,7,7,3,0
231336,2,1,1,53,9,7,6,0
231415,1,1,1,38,11,14,1,1
231415,2,1,2,38,12,14,2,1
231749,1,1,4,51,12,11,2,1
231749,2,1,4,48,11,11,2,1
231903,1,1,1,64,10,15,5,1
231903,2,1,1,58,10,15,7,1
232695,1,1,2,43,10,14,2,1
232695,2,1,2,41,11,14,1,1
232922,1,1,2,35,12,8,3,1
232922,2,1,2,35,12,8,4,1
233724,1,1,1,58,13,16,5,1
233724,2,1,1,54,12,16,5,1
233753,1,1,1,55,14,14,1,1
233753,2,1,1,46,12,14,7,1
233874,1,1,2,58,12,18,1,1
233874,2,1,1,55,9,18,1,1
234395,1,1,1,37,13,19,1,1
234395,2,1,1,34,12,19,1,1
234684,1,1,1,43,11,11,1,0
234684,2,1,1,38,3,11,7,0
236300,1,1,1,54,10,6,6,1
236300,2,1,1,45,6,6,1,1
236376,1,1,1,54,12,15,1,1
236376,2,1,1,53,12,15,7,1
236982,1,2,5,62,10,12,1,1
236982,2,2,2,58,11,12,1,1
237105,1,2,4,27,9,14,4,1
237105,2,2,5,29,10,14,1,1
